wasm_hash,instance_count,instance_percent,rssdkver,rsver,source_repo,home_domain,error_cases,contract_functions,contract_events
"843050da1fca69abae6e0e57a6fab625f8723c8ef0b6650ef2f4e2abc350bff2",1,0.0008,"21.7.6#c6cca8f8cf75618c24ceb5d9ffdfe735486ae1e9","1.81.0","","","NameCannotBeEmpty,DescriptionTooLong,CoverImageUrlTooLong,InvalidListId,AlreadyUpvoted,NotUpvoted,ContractOwnerOnly,AdminNotFound,ListNotFound,AdminAlreadyExists,AdminDoesNotExist,NoteRequired,RegistrationsRequired,RegistrationNotFound,AdminOrOwnerOnly,AlreadyInitialized,InvalidRegistrationId,AlreadyRegistered,RegistrationListMismatch","initialize,create_list,update_list,delete_list,upvote,remove_upvote,transfer_ownership,add_admins,remove_admins,clear_admins,register_batch,unregister,update_registration,get_list,get_lists,get_lists_for_owner,get_lists_for_registrant,get_upvotes_for_list,get_upvoted_lists_for_account,get_registration,get_registrations_for_list,get_registrations_for_registrant,is_registered,owner,upgrade,admins",""
"84430ac8cd15731d4608e0335561b20c452c07f95dfe02a5ae4e1217a3b785e7",0,0.0000,"21.6.0#f57d2454e520ae11dc9c8d55db610557a24a556e","1.80.0","","","AnotherActionActive,NoActionActive,ActionNotReadyYet","initialize_all,pool_type,initialize,share_id,get_total_shares,get_tokens,deposit,swap,estimate_swap,withdraw,get_reserves,get_fee_fraction,get_info,set_privileged_addrs,get_privileged_addrs,kill_deposit,kill_swap,kill_claim,unkill_deposit,unkill_swap,unkill_claim,get_is_killed_deposit,get_is_killed_swap,get_is_killed_claim,version,commit_upgrade,apply_upgrade,revert_upgrade,set_emergency_mode,get_emergency_mode,upgrade_token_legacy,initialize_rewards_config,set_rewards_config,get_unused_reward,return_unused_reward,get_rewards_info,get_user_reward,checkpoint_reward,get_total_accumulated_reward,get_total_configured_reward,get_total_claimed_reward,claim,init_pools_plane,set_pools_plane,get_pools_plane,backfill_plane_data,commit_transfer_ownership,apply_transfer_ownership,revert_transfer_ownership,get_future_address",""
"84b9619686ac136540a417a69a71bdf8bdcf68b37935b8be372adcbacc5594fd",0,0.0000,"21.6.0#f57d2454e520ae11dc9c8d55db610557a24a556e","1.80.0","","","AnotherActionActive,NoActionActive,ActionNotReadyYet","pool_type,get_info,get_pool,share_id,get_total_shares,get_reserves,deposit,swap,estimate_swap,withdraw,get_liquidity,get_liquidity_calculator,set_liquidity_calculator,version,commit_upgrade,apply_upgrade,revert_upgrade,set_emergency_mode,get_emergency_mode,init_admin,set_privileged_addrs,get_privileged_addrs,set_token_hash,set_pool_hash,set_stableswap_pool_hash,configure_init_pool_payment,get_init_pool_payment_token,get_init_pool_payment_address,get_stable_pool_payment_amount,get_standard_pool_payment_amount,set_reward_token,get_rewards_config,get_tokens_for_reward,get_total_liquidity,config_global_rewards,fill_liquidity,config_pool_rewards,get_rewards_info,get_user_reward,get_total_accumulated_reward,get_total_configured_reward,get_total_claimed_reward,get_total_outstanding_reward,distribute_outstanding_reward,claim,init_standard_pool,init_stableswap_pool,get_pools,remove_pool,get_tokens_sets_count,get_tokens,get_pools_for_tokens_range,set_pools_plane,get_plane,swap_chained,commit_transfer_ownership,apply_transfer_ownership,revert_transfer_ownership,get_future_address",""
"84d7f91a09d004a5f2c014a98cc292123d297e6839497ff26ae7df5e93b15746",1,0.0008,"20.5.0#9e2c3022b4355b224a7a814e13ba51761eeb14bb","1.90.0","","","AlreadyInitialized,NotInitialized,NotAdmin,PoolExists,NoPool","init_factory,initialize",""
"84e7919fefc959120fa8fce7f3415759d7dc01847c582459467fec12992b6cbc",4,0.0034,"22.0.7#211569aa49c8d896877dfca1f2eb4fe9071121c8","1.84.0","","","AnotherActionActive,NoActionActive,ActionNotReadyYet","__constructor,set_privileged_addrs,get_address,get_address_safe,get_addresses,address_has_role,assert_address_has_role,version,commit_upgrade,apply_upgrade,revert_upgrade,set_emergency_mode,get_emergency_mode,commit_transfer_ownership,apply_transfer_ownership,revert_transfer_ownership,get_future_address",""
"84ed7461286d7a7176ab28fc3db3b165efef2e1249ded0c190b3e39c02e94674",0,0.0000,"23.5.3#d3e1ab2424388b10893b796b0c8e405c5edd03d2","1.96.0","github:Dobprotocol/stellar-distribution-contracts","dobprotocol.com","NotInitialized,AlreadyInitialized,Unauthorized,ContractLocked,LowShareCount,InvalidShareTotal,NegativeShareAmount,DuplicateShareholder,ZeroTransferAmount,TransferAmountAboveBalance,TransferAmountAboveUnusedBalance,InvalidDistributionRound,RoundNotFound,AlreadyClaimed,NothingToClaim,RoundNotFinalized,InsufficientTokenBalance,TokenMintFailed,TokenBurnFailed,Overflow,DivisionByZero,InvalidCommissionRate,ZeroWithdrawalAmount,WithdrawalAmountAboveAllocation,DistributionTooSoon,ClaimsNotOpenYet,RoundExpired,ScheduleNotConfigured,ScheduleNotEnabled,ScheduleCompleted,ScheduledDistributionNotDue,InvalidScheduleConfig,RoundNotExpired,NothingToReclaim,NoSharesToTransfer,InsufficientSharesToTransfer,CannotTransferToSelf,InvalidShareAmount,InvalidPrice,NoSharesToSell,NoActiveListing,InsufficientSharesInListing,CannotBuyOwnShares,InvalidProof,NotSnapshotRound","init,claim,upgrade,claim_all,get_round,get_share,set_admin,get_config,get_schedule,set_schedule,get_claimable,lock_contract,update_shares,get_allocation,init_with_type,transfer_shares,transfer_tokens,claim_with_proof,disable_schedule,is_round_expired,get_active_rounds,is_round_claimable,create_distribution,get_total_claimable,withdraw_allocation,get_unclaimed_amount,get_commission_config,reclaim_expired_round,get_distribution_config,get_next_scheduled_time,set_buy_commission_rate,set_distribution_config,set_commission_recipient,create_distribution_snapshot,trigger_scheduled_distribution,set_distribution_commission_rate","SetAdmin"
"8597229abf161531166aefab43afd654d2659e7c9cc0a75274fec2239817f99a",1,0.0008,"20.4.0#70b12eb8c6af0593888154700f0ef68897521708","1.75.0","","","Unimplemented,Initialized,Uninitialized,Unauthorized,InvalidArg,InvalidChainId,InvalidOtherChainId,GasUsageNotSet,BrokenAddress,NotFound,TokenInsufficientBalance,CastFailed,ZeroAmount,PoolOverflow,ZeroChanges,ReservesExhausted,InsufficientReceivedAmount,BalanceRatioExceeded,Forbidden,UnauthorizedStopAuthority,SwapProhibited,AmountTooLowForFee,BridgeToTheZeroAddress,EmptyRecipient,SourceNotRegistered,WrongDestinationChain,UnknownAnotherChain,TokensAlreadySent,MessageProcessed,NotEnoughFee,NoMessage,NoReceivePool,NoPool,UnknownAnotherToken,WrongByteLength,HasMessage,InvalidPrimarySignature,InvalidSecondarySignature,NoGasDataForChain","initialize,deposit,withdraw,swap_to_v_usd,swap_from_v_usd,claim_rewards,claim_balance,set_fee_share,adjust_total_lp_amount,set_balance_ratio_min_bp,stop_deposit,start_deposit,stop_withdraw,start_withdraw,set_stop_authority,set_bridge,set_admin,set_admin_fee_share,claim_admin_fee,pending_reward,get_pool,get_admin,get_stop_authority,get_bridge,get_user_deposit,get_claimable_balance,upgrade",""
"85e92535a4c29a0f2cafd1a821035ee11926aa63b1ecd045962a399e39b8b5ec",0,0.0000,"22.0.6#0c47dcfa187069d241f11fb082730f667b55e802","1.84.0","","","AnotherActionActive,NoActionActive,ActionNotReadyYet","__constructor,set_total_supply,total_supply,set_privileged_addrs,get_privileged_addrs,commit_transfer_ownership,apply_transfer_ownership,revert_transfer_ownership,get_future_address,version,commit_upgrade,apply_upgrade,revert_upgrade,set_emergency_mode,get_emergency_mode",""
"8684ae2e788670d572b0c969308773b536c4c90cc909a4f2f1255db06c3e23b2",1,0.0008,"21.7.6#c6cca8f8cf75618c24ceb5d9ffdfe735486ae1e9","1.81.0","","","AlreadyInitialized,NotInitialized,InvalidCharity","init,update,deploy,donate",""
"868a26642dddbc9e8d676749b9ed27acfc4dd6b396b57686a84131882b65fb90",1,0.0008,"23.0.1#510d3feb724c2b01d7e7ab7652f03b9f8efc3f35","1.93.0-nightly","","","AlreadyInitialized,Unauthorized,InvalidDelay,EmptyBatch,OperationExists,OperationMissing,OperationNotReady,OperationExpired,OperationAlreadyExecuted,OperationCancelled,NotInitialized,InvalidBootstrapAdmin","init,cancel,config,execute,upgrade,is_ready,schedule,operation,set_admin,set_governor,set_min_delay,last_wasm_hash,set_grace_period,bootstrap_admin_active,current_operation_status,bootstrap_admin_expires_at,set_bootstrap_admin_expiry,clear_bootstrap_admin_expiry",""
