wasm_hash,instances_count,token_id_type,functions,events
"94e680699c16a4bf9f09d9077b7269c282e4162d5f331bb4173bd2095e18ab94",1,"u32","burn,mint,name,symbol,approve,balance,owner_of,transfer,burn_from,token_uri,get_approved,total_supply,transfer_from,__constructor,get_max_supply,get_token_data,mint_with_data,approve_for_all,get_owner_tokens,set_metadata_uri,get_token_metadata,bulk_mint_with_data,is_approved_for_all",""
"99f98ecb0d199523a937c327daee39ed5029303656d6994868880ef62ef59919",1,"u32","burn,mint,name,ping,claim,symbol,approve,balance,upgrade,owner_of,transfer,burn_from,get_image,get_owner,set_image,set_owner,token_uri,max_supply,get_approved,get_claimant,is_claimable,royalty_info,set_claimant,total_minted,__constructor,set_claimable,set_token_uri,transfer_from,approve_for_all,accept_ownership,batch_set_claimant,renounce_ownership,transfer_ownership,is_approved_for_all,set_royalty_recipient","RoleGranted,RoleRevoked,AdminRenounced,RoleAdminChanged,AdminTransferCompleted,AdminTransferInitiated,OwnershipTransfer,OwnershipRenounced,OwnershipTransferCompleted,SetRoot,SetClaimed,Paused,Unpaused,ConsecutiveMint,Burn,SetTokenRoyalty,SetDefaultRoyalty,RemoveTokenRoyalty,Mint,Approve,Transfer,ApproveForAll,ModuleAdded,ModuleRemoved,DocumentRemoved,DocumentUpdated,KeyAllowed,KeyRemoved,ClaimRevoked,SignaturesInvalidated,ClaimAdded,ClaimChanged,ClaimRemoved,Burn,Mint,ClaimTopicAdded,ClaimTopicRemoved,TrustedIssuerAdded,IssuerTopicsUpdated,TrustedIssuerRemoved,IdentityStored,CountryDataAdded,IdentityModified,IdentityUnstored,IdentityRecovered,CountryDataRemoved,CountryDataModified,TokensFrozen,AddressFrozen,ComplianceSet,TokensUnfrozen,RecoverySuccess,IdentityVerifierSet,TokenOnchainIdUpdated,ClaimTopicsAndIssuersSet,TokenBound,TokenUnbound,Deposit,Withdraw,Burn,UserAllowed,UserDisallowed,UserBlocked,UserUnblocked,Mint,Approve,Transfer"
"9aabb3fc3e8a3ff57d391cc6a24d3e2d53f46f14a4a15f50c6b4e71f544651b6",3,"u32","__constructor,update_uri,get_total_minted,get_max_supply,mint,balance,owner_of,transfer,transfer_from,approve,approve_for_all,get_approved,is_approved_for_all,token_uri,name,symbol",""
"9c8830bdb1fe887a09cac82abcb0c9de70b55b8311c210b99f8962b56d3c6d78",4,"u32","__constructor,set_metadata_uri,get_max_supply,only_owner,set_token_data,get_token_data,mint_with_data,mint,get_token_metadata,get_owner_tokens,bulk_transfer,balance,owner_of,transfer,transfer_from,approve,approve_for_all,get_approved,is_approved_for_all,token_uri,name,symbol,total_supply,get_owner_token_id,get_token_id,burn,burn_from",""
"a1b8523b41b1f559945724415096be6291dfff0fc801049c167381d755b0936c",2,"u32","balance_of,owner_of,transfer_from,approve,set_approval_for_all,get_approved,is_approval_for_all,name,symbol,token_uri,total_supply,token_by_index,token_of_owner_by_index,initialize,admin,set_admin,mint",""
"a6a73622254055b82945da25499ee4f7dac14ed7fb3d428f70a9f2e3b9640f70",2,"u32","burn,mint,name,pause,price,paused,symbol,approve,balance,unpause,upgrade,owner_of,transfer,burn_from,get_image,get_owner,set_image,token_uri,max_supply,get_approved,royalty_info,total_minted,__constructor,transfer_from,approve_for_all,accept_ownership,get_token_metadata,renounce_ownership,transfer_ownership,is_approved_for_all,set_royalty_recipient","RoleGranted,RoleRevoked,AdminRenounced,RoleAdminChanged,AdminTransferCompleted,AdminTransferInitiated,OwnershipTransfer,OwnershipRenounced,OwnershipTransferCompleted,SetRoot,SetClaimed,Paused,Unpaused,ConsecutiveMint,Burn,SetTokenRoyalty,SetDefaultRoyalty,RemoveTokenRoyalty,Mint,Approve,Transfer,ApproveForAll,ModuleAdded,ModuleRemoved,DocumentRemoved,DocumentUpdated,KeyAllowed,KeyRemoved,ClaimRevoked,SignaturesInvalidated,ClaimAdded,ClaimChanged,ClaimRemoved,Burn,Mint,ClaimTopicAdded,ClaimTopicRemoved,TrustedIssuerAdded,IssuerTopicsUpdated,TrustedIssuerRemoved,IdentityStored,CountryDataAdded,IdentityModified,IdentityUnstored,IdentityRecovered,CountryDataRemoved,CountryDataModified,TokensFrozen,AddressFrozen,ComplianceSet,TokensUnfrozen,RecoverySuccess,IdentityVerifierSet,TokenOnchainIdUpdated,ClaimTopicsAndIssuersSet,TokenBound,TokenUnbound,Deposit,Withdraw,Burn,UserAllowed,UserDisallowed,UserBlocked,UserUnblocked,Mint,Approve,Transfer"
"aa069f7c28c992fe4378d62d8020a1228a2eb0049ae91409b56e81bcb6271e94",1,"string","initialize,mint,add_minter,remove_minter,burn,transfer_from,owner_of,set_base_uri,get_base_uri,get_token_uri",""
"acabe392b764c5a8703d814c42b25545dbfb26b2122b86847b239448471ebc2a",1,"u32","burn,mint,name,symbol,approve,balance,owner_of,transfer,burn_from,get_owner,token_uri,get_approved,get_token_id,total_supply,transfer_from,__constructor,approve_for_all,accept_ownership,get_owner_token_id,renounce_ownership,transfer_ownership,is_approved_for_all",""
"af47b815157bb0c8f6709109a76e09aef50f00af953d55ea8ed91df81f670a85",2,"u32","__constructor,set_metadata_uri,get_max_supply,only_owner,set_token_data,get_token_data,mint_with_data,mint,get_token_metadata,get_owner_tokens,bulk_transfer,balance,owner_of,transfer,transfer_from,approve,approve_for_all,get_approved,is_approved_for_all,token_uri,name,symbol,total_supply,get_owner_token_id,get_token_id,burn,burn_from",""
"b0c4ee88a2d47f346ae35fb64aef1d167e2148cf7fca7493ba88b058d49068a3",1,"u32","balance_of,owner_of,transfer_from,approve,set_approval_for_all,get_approved,is_approval_for_all,name,symbol,token_uri,total_supply,token_by_index,token_of_owner_by_index,initialize,admin,set_admin,mint",""
